date,meat_white_price,meat_white_min,meat_white_max,wayback_timestamp
2024-09-03,68.0,67.0,68.0,20240903015039
2024-09-05,71.0,70.0,71.0,20240905070547
2024-11-14,70.0,69.0,70.0,20241114050736
2024-11-15,70.0,69.0,70.0,20241115073912
2024-11-19,67.0,66.0,67.0,20241119031029
2024-11-20,68.0,67.0,68.0,20241120063856
2024-11-21,71.0,0.0,71.0,20241121070536
2024-11-22,71.0,70.0,71.0,20241122023835
2024-11-24,69.0,68.0,69.0,20241124020416
2024-11-25,69.0,68.0,69.0,20241125032139
2024-11-26,71.0,70.0,71.0,20241126032101
2024-11-27,71.0,0.0,71.0,20241127043633
2024-12-01,69.0,68.0,69.0,20241201030507
2024-12-03,69.0,68.0,69.0,20241203062313
2024-12-04,69.0,0.0,69.0,20241204060613
2024-12-05,71.0,70.0,71.0,20241205030937
2024-12-06,71.0,70.0,71.0,20241206035020
2024-12-08,75.0,74.0,75.0,20241208083759
